# help-inventory.csv — Phase 1 Discovery & Inventory (RC_ERP_v2)
# Generated by P1-INVENTORY agent from routes/web.php (1,940 lines).
#
# Each row = one authenticated PAGE route (after collapsing standard
# resource actions index/create/store/show/edit/update/destroy into a
# single row keyed by the .index route name). Custom action routes
# (e.g. audit, checklist, reconcile, weekly-report) get their own row.
#
# Total page-route rows: 215
# Per-module counts:
#   master-data: 30
#   inventory: 28
#   purchasing: 8
#   sales: 25
#   accounting: 33
#   finance: 38
#   reports: 36
#   system: 17
#
# SKIPPED AJAX: 224 (returning JSON / form-POST mutations / file downloads)
# SKIPPED AUTH/BRANCH-SWITCH/UI-PREVIEW: 3
#
# Columns: module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
master-data,master-data.banks,admin.banks.index,admin/banks,BankController,index,ব্যাংক,Bank,no
master-data,master-data.banks-audit,admin.banks.audit,admin/banks/audit,BankController,audit,Bank Audit,Bank Audit,no
master-data,master-data.banks-print,admin.banks.print,admin/banks/print,BankController,print,Bank Directory Print,Bank Directory Print,no
master-data,master-data.branches,admin.branches.index,admin/branches,BranchController,index,ব্র্যাঞ্চ,Branch,no
master-data,master-data.branches-audit,admin.branches.audit,admin/branches/audit,BranchController,audit,Branch Audit,Branch Audit,no
master-data,master-data.branches-print,admin.branches.print,admin/branches/print,BranchController,print,Branch Directory Print,Branch Directory Print,no
master-data,master-data.customers,admin.customers.index,admin/customers,CustomerController,index,খদ্দের,Customer,no
master-data,master-data.customers-audit,admin.customers.audit,admin/customers/audit,CustomerController,audit,Customer Audit,Customer Audit,no
master-data,master-data.customers-print,admin.customers.print,admin/customers/print,CustomerController,print,Customer Directory Print,Customer Directory Print,no
master-data,master-data.employees,admin.employees.index,admin/employees,EmployeeController,index,কর্মচারী,Employee,no
master-data,master-data.employees-account,admin.employees.account,admin/employees/{employee}/account,EmployeeController,account,Employee Account,Employee Account,no
master-data,master-data.employees-audit,admin.employees.audit,admin/employees/audit,EmployeeController,audit,Employee Audit,Employee Audit,no
master-data,master-data.employees-print,admin.employees.print,admin/employees/print,EmployeeController,print,Employee Directory Print,Employee Directory Print,no
master-data,master-data.ledgers,admin.ledgers.index,admin/ledgers,LedgerController,index,লেজার,Accounts,no
master-data,master-data.ledgers-audit,admin.ledgers.audit,admin/ledgers/audit,LedgerController,audit,Ledger Audit,Ledger Audit,no
master-data,master-data.ledgers-print,admin.ledgers.print,admin/ledgers/print,LedgerController,print,Ledger Directory Print,Ledger Directory Print,no
master-data,master-data.product-categories,admin.product-categories.index,admin/product-categories,ProductCategoryController,index,প্রোডাক্ট ক্যাটাগরি,Product Category,no
master-data,master-data.product-categories-audit,admin.product-categories.audit,admin/product-categories/audit,ProductCategoryController,audit,Product Category Audit,Product Category Audit,no
master-data,master-data.product-groups,admin.product-groups.index,admin/product-groups,ProductGroupController,index,প্রোডাক্ট গ্রুপ,Product Group,no
master-data,master-data.product-groups-audit,admin.product-groups.audit,admin/product-groups/audit,ProductGroupController,audit,Product Group Audit,Product Group Audit,no
master-data,master-data.products,admin.products.index,admin/products,ProductController,index,পণ্য,Product,no
master-data,master-data.products-audit,admin.products.audit,admin/products/audit,ProductController,audit,Product Audit,Product Audit,no
master-data,master-data.products-price-history,admin.products.priceHistory,admin/products/{product}/price-history,ProductController,priceHistory,Product Price History,Product Price History,no
master-data,master-data.products-print,admin.products.print,admin/products/print,ProductController,print,Product Directory Print,Product Directory Print,no
master-data,master-data.suppliers,admin.suppliers.index,admin/suppliers,SupplierController,index,সাপ্লায়ার,Supplier,no
master-data,master-data.suppliers-audit,admin.suppliers.audit,admin/suppliers/audit,SupplierController,audit,Supplier Audit,Supplier Audit,no
master-data,master-data.suppliers-print,admin.suppliers.print,admin/suppliers/print,SupplierController,print,Supplier Directory Print,Supplier Directory Print,no
